		=== g++: Unexpected fails for rv32imac_zba_zbb_zbc_zbs ilp32 medlow  ===
FAIL: c-c++-common/analyzer/coreutils-group_number.c  -std=c++20 (test for excess errors)
FAIL: c-c++-common/analyzer/coreutils-group_number.c  -std=c++26 (test for excess errors)
FAIL: c-c++-common/analyzer/coreutils-group_number.c  -std=c++98 (test for excess errors)
FAIL: gcc.misc-tests/gcov-pr85338.c line 9: is #####:should be 1
FAIL: gcc.misc-tests/gcov-pr85350.c gcov: 2 failures in line counts, 0 in branch percentages, 0 in condition/decision, 0 in prime-paths, 0 in return percentages, 0 in intermediate format, 0 failed in filters
FAIL: gcc.misc-tests/gcov-pr85350.c line 6: is #####:should be 1
FAIL: gcc.misc-tests/gcov-pr85350.c line 7: is #####:should be 1
FAIL: gcc.misc-tests/gcov-pr85372.c gcov: 3 failures in line counts, 0 in branch percentages, 0 in condition/decision, 0 in prime-paths, 0 in return percentages, 0 in intermediate format, 0 failed in filters
FAIL: gcc.misc-tests/gcov-pr85372.c line 15: is #####:should be 2
FAIL: gcc.misc-tests/gcov-pr85372.c line 18: is #####:should be 1
FAIL: gcc.misc-tests/gcov-pr85372.c line 19: is #####:should be 1
FAIL: gcc.misc-tests/gcov-pr86536.c gcov: 4 failures in line counts, 0 in branch percentages, 0 in condition/decision, 0 in prime-paths, 1 in return percentages, 0 in intermediate format, 0 failed in filters
FAIL: gcc.misc-tests/gcov-pr86536.c line 15: is #####:should be 1
FAIL: gcc.misc-tests/gcov-pr86536.c line 18: is #####:should be 1
FAIL: gcc.misc-tests/gcov-pr86536.c line 19: expected return percentages not found: 200
FAIL: gcc.misc-tests/gcov-pr86536.c line 21: is #####:should be 2
FAIL: gcc.misc-tests/gcov-pr86536.c line 22: is #####:should be 2
FAIL: gcc.target/riscv/crc-1-zbc.c   -O2  (test for excess errors)
FAIL: gcc.target/riscv/crc-1-zbc.c   -O2 -flto -fno-use-linker-plugin -flto-partition=none  (test for excess errors)
FAIL: gcc.target/riscv/crc-1-zbc.c   -O2 -flto -fuse-linker-plugin -fno-fat-lto-objects  (test for excess errors)
FAIL: gcc.target/riscv/crc-1-zbc.c   -O3 -g  (test for excess errors)
FAIL: gcc.target/riscv/crc-1-zbc.c   -Os  (test for excess errors)
FAIL: gcc.target/riscv/crc-1-zbkc.c   -O2  (test for excess errors)
FAIL: gcc.target/riscv/crc-1-zbkc.c   -O2 -flto -fno-use-linker-plugin -flto-partition=none  (test for excess errors)
FAIL: gcc.target/riscv/crc-1-zbkc.c   -O2 -flto -fuse-linker-plugin -fno-fat-lto-objects  (test for excess errors)
FAIL: gcc.target/riscv/crc-1-zbkc.c   -O3 -g  (test for excess errors)
FAIL: gcc.target/riscv/crc-1-zbkc.c   -Os  (test for excess errors)
FAIL: gcc.target/riscv/crc-10-zbc.c   -O2  (test for excess errors)
FAIL: gcc.target/riscv/crc-10-zbc.c   -O2 -flto -fno-use-linker-plugin -flto-partition=none  (test for excess errors)
FAIL: gcc.target/riscv/crc-10-zbc.c   -O2 -flto -fuse-linker-plugin -fno-fat-lto-objects  (test for excess errors)
FAIL: gcc.target/riscv/crc-10-zbc.c   -O3 -g  (test for excess errors)
FAIL: gcc.target/riscv/crc-10-zbc.c   -Os  (test for excess errors)
FAIL: gcc.target/riscv/crc-10-zbkc.c   -O2  (test for excess errors)
FAIL: gcc.target/riscv/crc-10-zbkc.c   -O2 -flto -fno-use-linker-plugin -flto-partition=none  (test for excess errors)
FAIL: gcc.target/riscv/crc-10-zbkc.c   -O2 -flto -fuse-linker-plugin -fno-fat-lto-objects  (test for excess errors)
FAIL: gcc.target/riscv/crc-10-zbkc.c   -O3 -g  (test for excess errors)
FAIL: gcc.target/riscv/crc-10-zbkc.c   -Os  (test for excess errors)
FAIL: gcc.target/riscv/crc-12-zbc.c   -O2  (test for excess errors)
FAIL: gcc.target/riscv/crc-12-zbc.c   -O2 -flto -fno-use-linker-plugin -flto-partition=none  (test for excess errors)
FAIL: gcc.target/riscv/crc-12-zbc.c   -O2 -flto -fuse-linker-plugin -fno-fat-lto-objects  (test for excess errors)
FAIL: gcc.target/riscv/crc-12-zbc.c   -O3 -g  (test for excess errors)
FAIL: gcc.target/riscv/crc-12-zbc.c   -Os  (test for excess errors)
FAIL: gcc.target/riscv/crc-12-zbkc.c   -O2  (test for excess errors)
FAIL: gcc.target/riscv/crc-12-zbkc.c   -O2 -flto -fno-use-linker-plugin -flto-partition=none  (test for excess errors)
FAIL: gcc.target/riscv/crc-12-zbkc.c   -O2 -flto -fuse-linker-plugin -fno-fat-lto-objects  (test for excess errors)
FAIL: gcc.target/riscv/crc-12-zbkc.c   -O3 -g  (test for excess errors)
FAIL: gcc.target/riscv/crc-12-zbkc.c   -Os  (test for excess errors)
FAIL: gcc.target/riscv/crc-13-zbc.c   -O2  (test for excess errors)
FAIL: gcc.target/riscv/crc-13-zbc.c   -O2 -flto -fno-use-linker-plugin -flto-partition=none  (test for excess errors)
FAIL: gcc.target/riscv/crc-13-zbc.c   -O2 -flto -fuse-linker-plugin -fno-fat-lto-objects  (test for excess errors)
FAIL: gcc.target/riscv/crc-13-zbc.c   -O3 -g  (test for excess errors)
FAIL: gcc.target/riscv/crc-13-zbc.c   -Os  (test for excess errors)
FAIL: gcc.target/riscv/crc-13-zbkc.c   -O2  (test for excess errors)
FAIL: gcc.target/riscv/crc-13-zbkc.c   -O2 -flto -fno-use-linker-plugin -flto-partition=none  (test for excess errors)
FAIL: gcc.target/riscv/crc-13-zbkc.c   -O2 -flto -fuse-linker-plugin -fno-fat-lto-objects  (test for excess errors)
FAIL: gcc.target/riscv/crc-13-zbkc.c   -O3 -g  (test for excess errors)
FAIL: gcc.target/riscv/crc-13-zbkc.c   -Os  (test for excess errors)
FAIL: gcc.target/riscv/crc-14-zbc.c   -O2  (test for excess errors)
FAIL: gcc.target/riscv/crc-14-zbc.c   -O2 -flto -fno-use-linker-plugin -flto-partition=none  (test for excess errors)
FAIL: gcc.target/riscv/crc-14-zbc.c   -O2 -flto -fuse-linker-plugin -fno-fat-lto-objects  (test for excess errors)
FAIL: gcc.target/riscv/crc-14-zbc.c   -O3 -g  (test for excess errors)
FAIL: gcc.target/riscv/crc-14-zbc.c   -Os  (test for excess errors)
FAIL: gcc.target/riscv/crc-14-zbkc.c   -O2  (test for excess errors)
FAIL: gcc.target/riscv/crc-14-zbkc.c   -O2 -flto -fno-use-linker-plugin -flto-partition=none  (test for excess errors)
FAIL: gcc.target/riscv/crc-14-zbkc.c   -O2 -flto -fuse-linker-plugin -fno-fat-lto-objects  (test for excess errors)
FAIL: gcc.target/riscv/crc-14-zbkc.c   -O3 -g  (test for excess errors)
FAIL: gcc.target/riscv/crc-14-zbkc.c   -Os  (test for excess errors)
FAIL: gcc.target/riscv/crc-17-zbc.c   -O2  (test for excess errors)
FAIL: gcc.target/riscv/crc-17-zbc.c   -O2 -flto -fno-use-linker-plugin -flto-partition=none  (test for excess errors)
FAIL: gcc.target/riscv/crc-17-zbc.c   -O2 -flto -fuse-linker-plugin -fno-fat-lto-objects  (test for excess errors)
FAIL: gcc.target/riscv/crc-17-zbc.c   -O3 -g  (test for excess errors)
FAIL: gcc.target/riscv/crc-17-zbc.c   -Os  (test for excess errors)
FAIL: gcc.target/riscv/crc-17-zbkc.c   -O2  (test for excess errors)
FAIL: gcc.target/riscv/crc-17-zbkc.c   -O2 -flto -fno-use-linker-plugin -flto-partition=none  (test for excess errors)
FAIL: gcc.target/riscv/crc-17-zbkc.c   -O2 -flto -fuse-linker-plugin -fno-fat-lto-objects  (test for excess errors)
FAIL: gcc.target/riscv/crc-17-zbkc.c   -O3 -g  (test for excess errors)
FAIL: gcc.target/riscv/crc-17-zbkc.c   -Os  (test for excess errors)
FAIL: gcc.target/riscv/crc-18-zbc.c   -O2  (test for excess errors)
FAIL: gcc.target/riscv/crc-18-zbc.c   -O2 -flto -fno-use-linker-plugin -flto-partition=none  (test for excess errors)
FAIL: gcc.target/riscv/crc-18-zbc.c   -O2 -flto -fuse-linker-plugin -fno-fat-lto-objects  (test for excess errors)
FAIL: gcc.target/riscv/crc-18-zbc.c   -O3 -g  (test for excess errors)
FAIL: gcc.target/riscv/crc-18-zbc.c   -Os  (test for excess errors)
FAIL: gcc.target/riscv/crc-18-zbkc.c   -O2  (test for excess errors)
FAIL: gcc.target/riscv/crc-18-zbkc.c   -O2 -flto -fno-use-linker-plugin -flto-partition=none  (test for excess errors)
FAIL: gcc.target/riscv/crc-18-zbkc.c   -O2 -flto -fuse-linker-plugin -fno-fat-lto-objects  (test for excess errors)
FAIL: gcc.target/riscv/crc-18-zbkc.c   -O3 -g  (test for excess errors)
FAIL: gcc.target/riscv/crc-18-zbkc.c   -Os  (test for excess errors)
FAIL: gcc.target/riscv/crc-22-zbc.c   -O2  (test for excess errors)
FAIL: gcc.target/riscv/crc-22-zbc.c   -O2 -flto -fno-use-linker-plugin -flto-partition=none  (test for excess errors)
FAIL: gcc.target/riscv/crc-22-zbc.c   -O2 -flto -fuse-linker-plugin -fno-fat-lto-objects  (test for excess errors)
FAIL: gcc.target/riscv/crc-22-zbc.c   -O3 -g  (test for excess errors)
FAIL: gcc.target/riscv/crc-22-zbc.c   -Os  (test for excess errors)
FAIL: gcc.target/riscv/crc-22-zbkc.c   -O2  (test for excess errors)
FAIL: gcc.target/riscv/crc-22-zbkc.c   -O2 -flto -fno-use-linker-plugin -flto-partition=none  (test for excess errors)
FAIL: gcc.target/riscv/crc-22-zbkc.c   -O2 -flto -fuse-linker-plugin -fno-fat-lto-objects  (test for excess errors)
FAIL: gcc.target/riscv/crc-22-zbkc.c   -O3 -g  (test for excess errors)
FAIL: gcc.target/riscv/crc-22-zbkc.c   -Os  (test for excess errors)
FAIL: gcc.target/riscv/crc-23-zbc.c   -O2  (test for excess errors)
FAIL: gcc.target/riscv/crc-23-zbc.c   -O2 -flto -fno-use-linker-plugin -flto-partition=none  (test for excess errors)
FAIL: gcc.target/riscv/crc-23-zbc.c   -O2 -flto -fuse-linker-plugin -fno-fat-lto-objects  (test for excess errors)
FAIL: gcc.target/riscv/crc-23-zbc.c   -O3 -g  (test for excess errors)
FAIL: gcc.target/riscv/crc-23-zbc.c   -Os  (test for excess errors)
FAIL: gcc.target/riscv/crc-23-zbkc.c   -O2  (test for excess errors)
FAIL: gcc.target/riscv/crc-23-zbkc.c   -O2 -flto -fno-use-linker-plugin -flto-partition=none  (test for excess errors)
FAIL: gcc.target/riscv/crc-23-zbkc.c   -O2 -flto -fuse-linker-plugin -fno-fat-lto-objects  (test for excess errors)
FAIL: gcc.target/riscv/crc-23-zbkc.c   -O3 -g  (test for excess errors)
FAIL: gcc.target/riscv/crc-23-zbkc.c   -Os  (test for excess errors)
FAIL: gcc.target/riscv/crc-4-zbc.c   -O2  (test for excess errors)
FAIL: gcc.target/riscv/crc-4-zbc.c   -O2 -flto -fno-use-linker-plugin -flto-partition=none  (test for excess errors)
FAIL: gcc.target/riscv/crc-4-zbc.c   -O2 -flto -fuse-linker-plugin -fno-fat-lto-objects  (test for excess errors)
FAIL: gcc.target/riscv/crc-4-zbc.c   -O3 -g  (test for excess errors)
FAIL: gcc.target/riscv/crc-4-zbc.c   -Os  (test for excess errors)
FAIL: gcc.target/riscv/crc-4-zbkc.c   -O2  (test for excess errors)
FAIL: gcc.target/riscv/crc-4-zbkc.c   -O2 -flto -fno-use-linker-plugin -flto-partition=none  (test for excess errors)
FAIL: gcc.target/riscv/crc-4-zbkc.c   -O2 -flto -fuse-linker-plugin -fno-fat-lto-objects  (test for excess errors)
FAIL: gcc.target/riscv/crc-4-zbkc.c   -O3 -g  (test for excess errors)
FAIL: gcc.target/riscv/crc-4-zbkc.c   -Os  (test for excess errors)
FAIL: gcc.target/riscv/crc-5-zbc.c   -O2  (test for excess errors)
FAIL: gcc.target/riscv/crc-5-zbc.c   -O2 -flto -fno-use-linker-plugin -flto-partition=none  (test for excess errors)
FAIL: gcc.target/riscv/crc-5-zbc.c   -O2 -flto -fuse-linker-plugin -fno-fat-lto-objects  (test for excess errors)
FAIL: gcc.target/riscv/crc-5-zbc.c   -O3 -g  (test for excess errors)
FAIL: gcc.target/riscv/crc-5-zbc.c   -Os  (test for excess errors)
FAIL: gcc.target/riscv/crc-5-zbkc.c   -O2  (test for excess errors)
FAIL: gcc.target/riscv/crc-5-zbkc.c   -O2 -flto -fno-use-linker-plugin -flto-partition=none  (test for excess errors)
FAIL: gcc.target/riscv/crc-5-zbkc.c   -O2 -flto -fuse-linker-plugin -fno-fat-lto-objects  (test for excess errors)
FAIL: gcc.target/riscv/crc-5-zbkc.c   -O3 -g  (test for excess errors)
FAIL: gcc.target/riscv/crc-5-zbkc.c   -Os  (test for excess errors)
FAIL: gcc.target/riscv/crc-6-zbc.c   -O2  (test for excess errors)
FAIL: gcc.target/riscv/crc-6-zbc.c   -O2 -flto -fno-use-linker-plugin -flto-partition=none  (test for excess errors)
FAIL: gcc.target/riscv/crc-6-zbc.c   -O2 -flto -fuse-linker-plugin -fno-fat-lto-objects  (test for excess errors)
FAIL: gcc.target/riscv/crc-6-zbc.c   -Os  (test for excess errors)
FAIL: gcc.target/riscv/crc-6-zbkc.c   -O2  (test for excess errors)
FAIL: gcc.target/riscv/crc-6-zbkc.c   -O2 -flto -fno-use-linker-plugin -flto-partition=none  (test for excess errors)
FAIL: gcc.target/riscv/crc-6-zbkc.c   -O2 -flto -fuse-linker-plugin -fno-fat-lto-objects  (test for excess errors)
FAIL: gcc.target/riscv/crc-6-zbkc.c   -Os  (test for excess errors)
FAIL: gcc.target/riscv/crc-7-zbc.c   -O2  (test for excess errors)
FAIL: gcc.target/riscv/crc-7-zbc.c   -O2 -flto -fno-use-linker-plugin -flto-partition=none  (test for excess errors)
FAIL: gcc.target/riscv/crc-7-zbc.c   -O2 -flto -fuse-linker-plugin -fno-fat-lto-objects  (test for excess errors)
FAIL: gcc.target/riscv/crc-7-zbc.c   -O3 -g  (test for excess errors)
FAIL: gcc.target/riscv/crc-7-zbc.c   -Os  (test for excess errors)
FAIL: gcc.target/riscv/crc-7-zbkc.c   -O2  (test for excess errors)
FAIL: gcc.target/riscv/crc-7-zbkc.c   -O2 -flto -fno-use-linker-plugin -flto-partition=none  (test for excess errors)
FAIL: gcc.target/riscv/crc-7-zbkc.c   -O2 -flto -fuse-linker-plugin -fno-fat-lto-objects  (test for excess errors)
FAIL: gcc.target/riscv/crc-7-zbkc.c   -O3 -g  (test for excess errors)
FAIL: gcc.target/riscv/crc-7-zbkc.c   -Os  (test for excess errors)
FAIL: gcc.target/riscv/crc-8-zbc.c   -O2  (test for excess errors)
FAIL: gcc.target/riscv/crc-8-zbc.c   -O2 -flto -fno-use-linker-plugin -flto-partition=none  (test for excess errors)
FAIL: gcc.target/riscv/crc-8-zbc.c   -O2 -flto -fuse-linker-plugin -fno-fat-lto-objects  (test for excess errors)
FAIL: gcc.target/riscv/crc-8-zbc.c   -O3 -g  (test for excess errors)
FAIL: gcc.target/riscv/crc-8-zbc.c   -Os  (test for excess errors)
FAIL: gcc.target/riscv/crc-8-zbkc.c   -O2  (test for excess errors)
FAIL: gcc.target/riscv/crc-8-zbkc.c   -O2 -flto -fno-use-linker-plugin -flto-partition=none  (test for excess errors)
FAIL: gcc.target/riscv/crc-8-zbkc.c   -O2 -flto -fuse-linker-plugin -fno-fat-lto-objects  (test for excess errors)
FAIL: gcc.target/riscv/crc-8-zbkc.c   -O3 -g  (test for excess errors)
FAIL: gcc.target/riscv/crc-8-zbkc.c   -Os  (test for excess errors)
FAIL: gcc.target/riscv/crc-9-zbc.c   -O2  (test for excess errors)
FAIL: gcc.target/riscv/crc-9-zbc.c   -O2 -flto -fno-use-linker-plugin -flto-partition=none  (test for excess errors)
FAIL: gcc.target/riscv/crc-9-zbc.c   -O2 -flto -fuse-linker-plugin -fno-fat-lto-objects  (test for excess errors)
FAIL: gcc.target/riscv/crc-9-zbc.c   -Os  (test for excess errors)
FAIL: gcc.target/riscv/crc-9-zbkc.c   -O2  (test for excess errors)
FAIL: gcc.target/riscv/crc-9-zbkc.c   -O2 -flto -fno-use-linker-plugin -flto-partition=none  (test for excess errors)
FAIL: gcc.target/riscv/crc-9-zbkc.c   -O2 -flto -fuse-linker-plugin -fno-fat-lto-objects  (test for excess errors)
FAIL: gcc.target/riscv/crc-9-zbkc.c   -Os  (test for excess errors)
FAIL: gcc.target/riscv/crc-CCIT-data16-zbc.c   -O2  (test for excess errors)
FAIL: gcc.target/riscv/crc-CCIT-data16-zbc.c   -O2 -flto -fno-use-linker-plugin -flto-partition=none  (test for excess errors)
FAIL: gcc.target/riscv/crc-CCIT-data16-zbc.c   -O2 -flto -fuse-linker-plugin -fno-fat-lto-objects  (test for excess errors)
FAIL: gcc.target/riscv/crc-CCIT-data16-zbc.c   -O3 -g  (test for excess errors)
FAIL: gcc.target/riscv/crc-CCIT-data16-zbc.c   -Os  (test for excess errors)
FAIL: gcc.target/riscv/crc-CCIT-data16-zbkc.c   -O2  (test for excess errors)
FAIL: gcc.target/riscv/crc-CCIT-data16-zbkc.c   -O2 -flto -fno-use-linker-plugin -flto-partition=none  (test for excess errors)
FAIL: gcc.target/riscv/crc-CCIT-data16-zbkc.c   -O2 -flto -fuse-linker-plugin -fno-fat-lto-objects  (test for excess errors)
FAIL: gcc.target/riscv/crc-CCIT-data16-zbkc.c   -O3 -g  (test for excess errors)
FAIL: gcc.target/riscv/crc-CCIT-data16-zbkc.c   -Os  (test for excess errors)
FAIL: gcc.target/riscv/crc-CCIT-data8-zbc.c   -O2  (test for excess errors)
FAIL: gcc.target/riscv/crc-CCIT-data8-zbc.c   -O2 -flto -fno-use-linker-plugin -flto-partition=none  (test for excess errors)
FAIL: gcc.target/riscv/crc-CCIT-data8-zbc.c   -O2 -flto -fuse-linker-plugin -fno-fat-lto-objects  (test for excess errors)
FAIL: gcc.target/riscv/crc-CCIT-data8-zbc.c   -O3 -g  (test for excess errors)
FAIL: gcc.target/riscv/crc-CCIT-data8-zbc.c   -Os  (test for excess errors)
FAIL: gcc.target/riscv/crc-CCIT-data8-zbkc.c   -O2  (test for excess errors)
FAIL: gcc.target/riscv/crc-CCIT-data8-zbkc.c   -O2 -flto -fno-use-linker-plugin -flto-partition=none  (test for excess errors)
FAIL: gcc.target/riscv/crc-CCIT-data8-zbkc.c   -O2 -flto -fuse-linker-plugin -fno-fat-lto-objects  (test for excess errors)
FAIL: gcc.target/riscv/crc-CCIT-data8-zbkc.c   -O3 -g  (test for excess errors)
FAIL: gcc.target/riscv/crc-CCIT-data8-zbkc.c   -Os  (test for excess errors)
FAIL: gcc.target/riscv/crc-coremark-16bitdata-zbc.c   -O2  (test for excess errors)
FAIL: gcc.target/riscv/crc-coremark-16bitdata-zbc.c   -O2 -flto -fno-use-linker-plugin -flto-partition=none  (test for excess errors)
FAIL: gcc.target/riscv/crc-coremark-16bitdata-zbc.c   -O2 -flto -fuse-linker-plugin -fno-fat-lto-objects  (test for excess errors)
FAIL: gcc.target/riscv/crc-coremark-16bitdata-zbc.c   -O3 -g  (test for excess errors)
FAIL: gcc.target/riscv/crc-coremark-16bitdata-zbc.c   -Os  (test for excess errors)
FAIL: gcc.target/riscv/crc-coremark-16bitdata-zbkc.c   -O2  (test for excess errors)
FAIL: gcc.target/riscv/crc-coremark-16bitdata-zbkc.c   -O2 -flto -fno-use-linker-plugin -flto-partition=none  (test for excess errors)
FAIL: gcc.target/riscv/crc-coremark-16bitdata-zbkc.c   -O2 -flto -fuse-linker-plugin -fno-fat-lto-objects  (test for excess errors)
FAIL: gcc.target/riscv/crc-coremark-16bitdata-zbkc.c   -O3 -g  (test for excess errors)
FAIL: gcc.target/riscv/crc-coremark-16bitdata-zbkc.c   -Os  (test for excess errors)
FAIL: gcc.target/riscv/czero-bext.c   -O0   scan-assembler czero.nez\t
FAIL: gcc.target/riscv/czero-bext.c   -O0   scan-assembler sgtu\t
FAIL: gcc.target/riscv/czero-bext.c   -O0   scan-assembler-not bgtu\t
FAIL: gcc.target/riscv/czero-bext.c   -O1   scan-assembler czero.nez\t
FAIL: gcc.target/riscv/czero-bext.c   -O1   scan-assembler sgtu\t
FAIL: gcc.target/riscv/czero-bext.c   -O1   scan-assembler-not bgtu\t
FAIL: gcc.target/riscv/czero-bext.c   -O2   scan-assembler czero.nez\t
FAIL: gcc.target/riscv/czero-bext.c   -O2   scan-assembler sgtu\t
FAIL: gcc.target/riscv/czero-bext.c   -O2   scan-assembler-not bgtu\t
FAIL: gcc.target/riscv/czero-bext.c   -O2 -flto -fno-use-linker-plugin -flto-partition=none   scan-assembler czero.nez\t
FAIL: gcc.target/riscv/czero-bext.c   -O2 -flto -fno-use-linker-plugin -flto-partition=none   scan-assembler sgtu\t
FAIL: gcc.target/riscv/czero-bext.c   -O2 -flto -fno-use-linker-plugin -flto-partition=none   scan-assembler-not bgtu\t
FAIL: gcc.target/riscv/czero-bext.c   -O2 -flto -fuse-linker-plugin -fno-fat-lto-objects   scan-assembler czero.nez\t
FAIL: gcc.target/riscv/czero-bext.c   -O2 -flto -fuse-linker-plugin -fno-fat-lto-objects   scan-assembler sgtu\t
FAIL: gcc.target/riscv/czero-bext.c   -O2 -flto -fuse-linker-plugin -fno-fat-lto-objects   scan-assembler-not bgtu\t
FAIL: gcc.target/riscv/czero-bext.c   -O3 -g   scan-assembler czero.nez\t
FAIL: gcc.target/riscv/czero-bext.c   -O3 -g   scan-assembler sgtu\t
FAIL: gcc.target/riscv/czero-bext.c   -O3 -g   scan-assembler-not bgtu\t
FAIL: gcc.target/riscv/czero-bext.c   -Os   scan-assembler czero.nez\t
FAIL: gcc.target/riscv/czero-bext.c   -Os   scan-assembler sgtu\t
FAIL: gcc.target/riscv/czero-bext.c   -Os   scan-assembler-not bgtu\t
FAIL: gcc.target/riscv/pr113095.c   -O0  (test for excess errors)
FAIL: gcc.target/riscv/pr113095.c   -O1  (test for excess errors)
FAIL: gcc.target/riscv/pr113095.c   -O2  (test for excess errors)
FAIL: gcc.target/riscv/pr113095.c   -O2 -flto -fno-use-linker-plugin -flto-partition=none  (test for excess errors)
FAIL: gcc.target/riscv/pr113095.c   -O2 -flto -fuse-linker-plugin -fno-fat-lto-objects  (test for excess errors)
FAIL: gcc.target/riscv/pr113095.c   -O3 -g  (test for excess errors)
FAIL: gcc.target/riscv/pr113095.c   -Os  (test for excess errors)
FAIL: gcc.target/riscv/pr114139.c   -O0  (test for excess errors)
FAIL: gcc.target/riscv/pr114139.c   -O1  (test for excess errors)
FAIL: gcc.target/riscv/pr114139.c   -O2  (test for excess errors)
FAIL: gcc.target/riscv/pr114139.c   -O2 -flto -fno-use-linker-plugin -flto-partition=none  (test for excess errors)
FAIL: gcc.target/riscv/pr114139.c   -O2 -flto -fuse-linker-plugin -fno-fat-lto-objects  (test for excess errors)
FAIL: gcc.target/riscv/pr114139.c   -O3 -fomit-frame-pointer -funroll-loops -fpeel-loops -ftracer -finline-functions  (test for excess errors)
FAIL: gcc.target/riscv/pr114139.c   -O3 -g  (test for excess errors)
FAIL: gcc.target/riscv/pr114139.c   -Os  (test for excess errors)
FAIL: gcc.target/riscv/pr118170.c   -O0  (test for excess errors)
FAIL: gcc.target/riscv/pr118170.c   -O1  (test for excess errors)
FAIL: gcc.target/riscv/pr118170.c   -O2  (test for excess errors)
FAIL: gcc.target/riscv/pr118170.c   -O2 -flto -fno-use-linker-plugin -flto-partition=none  (test for excess errors)
FAIL: gcc.target/riscv/pr118170.c   -O2 -flto -fuse-linker-plugin -fno-fat-lto-objects  (test for excess errors)
FAIL: gcc.target/riscv/pr118170.c   -O3 -g  (test for excess errors)
FAIL: gcc.target/riscv/pr118170.c   -Os  (test for excess errors)
FAIL: gcc.target/riscv/pr120659.c   -O0  (test for excess errors)
FAIL: gcc.target/riscv/pr120659.c   -O1  (test for excess errors)
FAIL: gcc.target/riscv/pr120659.c   -O2  (test for excess errors)
FAIL: gcc.target/riscv/pr120659.c   -O2 -flto -fno-use-linker-plugin -flto-partition=none  (test for excess errors)
FAIL: gcc.target/riscv/pr120659.c   -O2 -flto -fuse-linker-plugin -fno-fat-lto-objects  (test for excess errors)
FAIL: gcc.target/riscv/pr120659.c   -O3 -g  (test for excess errors)
FAIL: gcc.target/riscv/pr120659.c   -Os  (test for excess errors)
FAIL: gcc.target/riscv/pr120811.c   -O0   scan-assembler addi.*[ats][0-9]*,sp,[0-9]*\n\tld\t.*,2047(.*).*
FAIL: gcc.target/riscv/pr120811.c   -O1   scan-assembler addi.*[ats][0-9]*,sp,[0-9]*\n\tld\t.*,2047(.*).*
FAIL: gcc.target/riscv/pr120811.c   -O2   scan-assembler addi.*[ats][0-9]*,sp,[0-9]*\n\tld\t.*,2047(.*).*
FAIL: gcc.target/riscv/pr120811.c   -O2 -flto -fno-use-linker-plugin -flto-partition=none   scan-assembler addi.*[ats][0-9]*,sp,[0-9]*\n\tld\t.*,2047(.*).*
FAIL: gcc.target/riscv/pr120811.c   -O2 -flto -fuse-linker-plugin -fno-fat-lto-objects   scan-assembler addi.*[ats][0-9]*,sp,[0-9]*\n\tld\t.*,2047(.*).*
FAIL: gcc.target/riscv/pr120811.c   -O3 -g   scan-assembler addi.*[ats][0-9]*,sp,[0-9]*\n\tld\t.*,2047(.*).*
FAIL: gcc.target/riscv/pr120811.c   -Os   scan-assembler addi.*[ats][0-9]*,sp,[0-9]*\n\tld\t.*,2047(.*).*
FAIL: gcc.target/riscv/pr122769.c   -O0  (test for excess errors)
FAIL: gcc.target/riscv/pr122769.c   -O1  (test for excess errors)
FAIL: gcc.target/riscv/pr122769.c   -O2  (test for excess errors)
FAIL: gcc.target/riscv/pr122769.c   -O2 -flto -fno-use-linker-plugin -flto-partition=none  (test for excess errors)
FAIL: gcc.target/riscv/pr122769.c   -O2 -flto -fuse-linker-plugin -fno-fat-lto-objects  (test for excess errors)
FAIL: gcc.target/riscv/pr122769.c   -O3 -g  (test for excess errors)
FAIL: gcc.target/riscv/pr122769.c   -Os  (test for excess errors)
FAIL: gcc.target/riscv/rvv/autovec/pr113206-1.c -O3 -ftree-vectorize  scan-assembler-times vsetvli 2
FAIL: gcc.target/riscv/rvv/autovec/pr113206-2.c -O3 -ftree-vectorize  scan-assembler-times vsetvli 1
FAIL: gcc.target/riscv/rvv/autovec/pr118945-2.c -O3 -ftree-vectorize (test for excess errors)
FAIL: gcc.target/riscv/rvv/pr122474.c (test for excess errors)
FAIL: gcc.target/riscv/rvv/vsetvl/pr117974.c   -O0   scan-assembler-times beq\\s+[a-x0-9]+,zero,.L12\\s+vsetvli 3
FAIL: gcc.target/riscv/rvv/vsetvl/pr117974.c   -O1   scan-assembler-times beq\\s+[a-x0-9]+,zero,.L12\\s+vsetvli 3
FAIL: gcc.target/riscv/rvv/vsetvl/pr117974.c   -O2   scan-assembler-times beq\\s+[a-x0-9]+,zero,.L12\\s+vsetvli 3
FAIL: gcc.target/riscv/rvv/vsetvl/pr117974.c   -O2 -flto -fno-use-linker-plugin -flto-partition=none   scan-assembler-times beq\\s+[a-x0-9]+,zero,.L12\\s+vsetvli 3
FAIL: gcc.target/riscv/rvv/vsetvl/pr117974.c   -O2 -flto -fuse-linker-plugin -fno-fat-lto-objects   scan-assembler-times beq\\s+[a-x0-9]+,zero,.L12\\s+vsetvli 3
FAIL: gcc.target/riscv/rvv/vsetvl/pr117974.c   -O3 -fomit-frame-pointer -funroll-loops -fpeel-loops -ftracer -finline-functions   scan-assembler-times beq\\s+[a-x0-9]+,[a-x0-9]+,.L12\\s+vsetvli 3
FAIL: gcc.target/riscv/rvv/vsetvl/pr117974.c   -O3 -g   scan-assembler-times beq\\s+[a-x0-9]+,zero,.L12\\s+vsetvli 3
